"","time","cod","trel"
"486",111900,0,-10.9166666666667
"487",111960,0,-10.9
"488",112020,0,-10.8833333333333
"489",112080,0,-10.8666666666667
"490",112140,0,-10.85
"491",112200,0,-10.8333333333333
"492",112260,0,-10.8166666666667
"493",112320,0,-10.8
"494",112380,0,-10.7833333333333
"495",112440,0,-10.7666666666667
"496",112500,0,-10.75
"497",112560,0,-10.7333333333333
"498",112620,0,-10.7166666666667
"499",112680,0,-10.7
"500",112740,0,-10.6833333333333
"501",112800,0,-10.6666666666667
"502",112860,0,-10.65
"503",112920,0,-10.6333333333333
"504",112980,0,-10.6166666666667
"505",113040,0,-10.6
"506",113100,0,-10.5833333333333
"507",113160,0,-10.5666666666667
"508",113220,0,-10.55
"509",113280,0,-10.5333333333333
"510",113340,0,-10.5166666666667
"511",113400,0,-10.5
"512",113460,0,-10.4833333333333
"513",113520,0,-10.4666666666667
"514",113580,0,-10.45
"515",113640,0,-10.4333333333333
"516",113700,0,-10.4166666666667
"517",113760,0,-10.4
"518",113820,0,-10.3833333333333
"519",113880,0,-10.3666666666667
"520",113940,0,-10.35
"521",114000,0,-10.3333333333333
"522",114060,0,-10.3166666666667
"523",114120,0,-10.3
"524",114180,0,-10.2833333333333
"525",114240,0,-10.2666666666667
"526",114300,0,-10.25
"527",114360,0,-10.2333333333333
"528",114420,0,-10.2166666666667
"529",114480,0,-10.2
"530",114540,0,-10.1833333333333
"531",114600,0,-10.1666666666667
"532",114660,0,-10.15
"533",114720,0,-10.1333333333333
"534",114780,0,-10.1166666666667
"535",114840,0,-10.1
"536",114900,0,-10.0833333333333
"537",114960,0,-10.0666666666667
"538",115020,0,-10.05
"539",115080,0,-10.0333333333333
"540",115140,0,-10.0166666666667
"541",115200,0,-10
"542",115260,0,-9.98333333333333
"543",115320,0,-9.96666666666667
"544",115380,0,-9.95
"545",115440,0,-9.93333333333333
"546",115500,0,-9.91666666666667
"547",115560,0,-9.9
"548",115620,0,-9.88333333333333
"549",115680,0,-9.86666666666667
"550",115740,0,-9.85
"551",115800,0,-9.83333333333333
"552",115860,0,-9.81666666666667
"553",115920,0,-9.8
"554",115980,0,-9.78333333333333
"555",116040,0,-9.76666666666667
"556",116100,0,-9.75
"557",116160,0,-9.73333333333333
"558",116220,0,-9.71666666666667
"559",116280,0,-9.7
"560",116340,0,-9.68333333333333
"561",116400,0,-9.66666666666667
"562",116460,0,-9.65
"563",116520,0,-9.63333333333333
"564",116580,0,-9.61666666666667
"565",116640,0,-9.6
"566",116700,0,-9.58333333333333
"567",116760,1.4099999666214,-9.56666666666667
"568",116820,10.25,-9.55
"569",116880,17.5300006866455,-9.53333333333333
"570",116940,26.2600002288818,-9.51666666666667
"571",117000,37.9500007629395,-9.5
"572",117060,53.0900001525879,-9.48333333333333
"573",117120,74.370002746582,-9.46666666666667
"574",117180,97.9400024414062,-9.45
"575",117240,130.100006103516,-9.43333333333333
"576",117300,164.979995727539,-9.41666666666667
"577",117360,186.160003662109,-9.4
"578",117420,249,-9.38333333333333
"579",117480,341,-9.36666666666667
"580",117540,422.239990234375,-9.35
"581",117600,457.089996337891,-9.33333333333333
"582",117660,431.820007324219,-9.31666666666667
"583",117720,469.040008544922,-9.3
"584",117780,496.329986572266,-9.28333333333333
"585",117840,455.559997558594,-9.26666666666667
"586",117900,545.440002441406,-9.25
"587",117960,470.779998779297,-9.23333333333333
"588",118020,559.150024414062,-9.21666666666667
"589",118080,457.839996337891,-9.2
"590",118140,359.079986572266,-9.18333333333333
"591",118200,307.5,-9.16666666666667
"592",118260,223.089996337891,-9.15
"593",118320,160.460006713867,-9.13333333333333
"594",118380,116.98999786377,-9.11666666666667
"595",118440,63.3300018310547,-9.1
"596",118500,55.5400009155273,-9.08333333333333
"597",118560,42.2400016784668,-9.06666666666667
"598",118620,36.7599983215332,-9.05
"599",118680,33.8499984741211,-9.03333333333333
"600",118740,32.7999992370605,-9.01666666666667
"601",118800,32.6500015258789,-9
"602",118860,31.4699993133545,-8.98333333333333
"603",118920,31.8500003814697,-8.96666666666667
"604",118980,32.3800010681152,-8.95
"605",119040,32.4799995422363,-8.93333333333333
"606",119100,33.0299987792969,-8.91666666666667
"607",119160,32.8199996948242,-8.9
"608",119220,33.0499992370605,-8.88333333333333
"609",119280,33.0099983215332,-8.86666666666667
"610",119340,32.3699989318848,-8.85
"611",119400,31.8999996185303,-8.83333333333333
"612",119460,29.2700004577637,-8.81666666666667
"613",119520,25.3799991607666,-8.8
