"","time","lwp","cth","trel"
"488",1948,NA,4900,-17.4588888888889
"489",1952,NA,4900,-17.4577777777778
"490",1956,NA,4900,-17.4566666666667
"491",1960,NA,4900,-17.4555555555556
"492",1964,NA,4900,-17.4544444444444
"493",1968,NA,4900,-17.4533333333333
"494",1972,NA,4900,-17.4522222222222
"495",1976,NA,4900,-17.4511111111111
"496",1980,NA,4900,-17.45
"497",1984,NA,4900,-17.4488888888889
"498",1988,NA,4900,-17.4477777777778
"499",1992,NA,4900,-17.4466666666667
"500",1996,NA,4900,-17.4455555555556
"501",2000,NA,4900,-17.4444444444444
"502",2004,NA,4900,-17.4433333333333
"503",2008,NA,4900,-17.4422222222222
"504",2012,NA,4900,-17.4411111111111
"505",2016,NA,4900,-17.44
"506",2020,NA,4900,-17.4388888888889
"507",2024,NA,4900,-17.4377777777778
"508",2028,NA,4900,-17.4366666666667
"509",2032,NA,4900,-17.4355555555556
"510",2036,NA,4900,-17.4344444444444
"511",2040,NA,4900,-17.4333333333333
"512",2044,NA,4900,-17.4322222222222
"513",2048,NA,4900,-17.4311111111111
"514",2052,NA,4900,-17.43
"515",2056,NA,4900,-17.4288888888889
"516",2060,NA,4900,-17.4277777777778
"517",2064,NA,4900,-17.4266666666667
"518",2068,NA,4900,-17.4255555555556
"519",2072,NA,4900,-17.4244444444444
"520",2076,NA,4900,-17.4233333333333
"521",2080,NA,4900,-17.4222222222222
"522",2084,NA,4930,-17.4211111111111
"523",2088,NA,4930,-17.42
"524",2092,NA,4930,-17.4188888888889
"525",2096,NA,4930,-17.4177777777778
"526",2100,NA,4930,-17.4166666666667
"527",2104,NA,4930,-17.4155555555556
"528",2108,NA,4930,-17.4144444444444
"529",2112,NA,4930,-17.4133333333333
"530",2116,NA,4930,-17.4122222222222
"531",2120,NA,4930,-17.4111111111111
"532",2124,NA,4930,-17.41
"533",2128,NA,4930,-17.4088888888889
"534",2132,NA,4930,-17.4077777777778
"535",2136,NA,4930,-17.4066666666667
"536",2140,NA,4930,-17.4055555555556
"537",2144,NA,4960,-17.4044444444444
"538",2148,NA,4960,-17.4033333333333
"539",2152,NA,4960,-17.4022222222222
"540",2156,NA,4960,-17.4011111111111
"541",2160,NA,4960,-17.4
"542",2164,NA,4960,-17.3988888888889
"543",2168,NA,4960,-17.3977777777778
"544",2172,NA,4960,-17.3966666666667
"545",2176,NA,4960,-17.3955555555556
"546",2180,NA,4960,-17.3944444444444
"547",2184,NA,4960,-17.3933333333333
"548",2188,NA,4960,-17.3922222222222
"549",2192,NA,4960,-17.3911111111111
"550",2196,NA,4960,-17.39
"551",2200,NA,4960,-17.3888888888889
"552",2204,NA,4960,-17.3877777777778
"553",2208,NA,4960,-17.3866666666667
"554",2212,NA,4960,-17.3855555555556
"555",2216,NA,4960,-17.3844444444444
"556",2220,NA,4960,-17.3833333333333
"557",2224,NA,4930,-17.3822222222222
"558",2228,NA,4930,-17.3811111111111
"559",2232,NA,4930,-17.38
"560",2236,NA,4930,-17.3788888888889
"561",2240,NA,4930,-17.3777777777778
"562",2244,NA,4930,-17.3766666666667
"563",2248,NA,4930,-17.3755555555556
"564",2252,NA,4930,-17.3744444444444
"565",2256,NA,4930,-17.3733333333333
"566",2260,NA,4930,-17.3722222222222
"567",2264,NA,4930,-17.3711111111111
"568",2268,NA,4930,-17.37
"569",2272,NA,4930,-17.3688888888889
"570",2276,NA,4930,-17.3677777777778
"571",2280,NA,4930,-17.3666666666667
"572",2284,NA,4930,-17.3655555555556
"573",2288,NA,4930,-17.3644444444444
"574",2292,NA,4930,-17.3633333333333
"575",2296,NA,4930,-17.3622222222222
"576",2300,NA,4930,-17.3611111111111
"577",2304,NA,4930,-17.36
"578",2308,NA,4930,-17.3588888888889
"579",2312,NA,4930,-17.3577777777778
"580",2316,NA,4930,-17.3566666666667
"581",2320,NA,4930,-17.3555555555556
"582",2324,NA,4930,-17.3544444444444
"583",2328,NA,4930,-17.3533333333333
