"","time","lwp","trel"
"3822",78860,61.898307800293,3.90555555555556
"3823",78880,62.0168037414551,3.91111111111111
"3824",78900,62.0168037414551,3.91666666666667
"3825",78920,62.5508460998535,3.92222222222222
"3826",78940,65.7647018432617,3.92777777777778
"3827",78960,65.7647018432617,3.93333333333333
"3828",78980,68.2436904907227,3.93888888888889
"3829",79000,71.9830474853516,3.94444444444444
"3830",79020,81.6806716918945,3.95
"3831",79040,81.6806716918945,3.95555555555556
"3832",79060,86.4067764282227,3.96111111111111
"3833",79080,90.0420074462891,3.96666666666667
"3834",79100,90.0420074462891,3.97222222222222
"3835",79120,91.5338973999023,3.97777777777778
"3836",79140,92.1186370849609,3.98333333333333
"3837",79160,91.5294036865234,3.98888888888889
"3838",79180,91.5294036865234,3.99444444444444
"3839",79200,92.2542343139648,4
"3840",79240,91.4873962402344,4.01111111111111
"3841",79260,92.1949081420898,4.01666666666667
"3842",79280,92.2033767700195,4.02222222222222
"3843",79300,91.4789810180664,4.02777777777778
"3844",79320,91.4789810180664,4.03333333333333
"3845",79340,92.2457504272461,4.03888888888889
"3846",79360,91.4453735351562,4.04444444444444
"3847",79380,91.4453735351562,4.05
"3848",79400,92.1355895996094,4.05555555555556
"3849",79420,91.3277359008789,4.06111111111111
"3850",79440,91.3025283813477,4.06666666666667
"3851",79460,91.3025283813477,4.07222222222222
"3852",79480,91.9745864868164,4.07777777777778
"3853",79500,91.1344680786133,4.08333333333333
"3854",79520,91.1344680786133,4.08888888888889
"3855",79540,91.8051071166992,4.09444444444444
"3856",79560,91.0336456298828,4.1
"3857",79580,90.9580078125,4.10555555555556
"3858",79600,90.9580078125,4.11111111111111
"3859",79620,91.796630859375,4.11666666666667
"3860",79640,91.0672454833984,4.12222222222222
"3861",79660,91.0672454833984,4.12777777777778
"3862",79680,92.2118759155273,4.13333333333333
"3863",79700,92.1344757080078,4.13888888888889
"3864",79720,92.1344757080078,4.14444444444444
"3865",79740,92.3445663452148,4.15
"3866",79760,93.2627258300781,4.15555555555556
"3867",79780,92.4706192016602,4.16111111111111
"3868",79800,92.4706192016602,4.16666666666667
"3869",79820,93.2203598022461,4.17222222222222
"3870",79840,92.3613662719727,4.17777777777778
"3871",79860,92.3613662719727,4.18333333333333
"3872",79880,92.2353134155273,4.18888888888889
"3873",79900,92.6864624023438,4.19444444444444
"3874",79920,91.7143096923828,4.2
"3875",79940,91.7143096923828,4.20555555555556
"3876",79960,90.8220596313477,4.21111111111111
"3877",79980,87.2521362304688,4.21666666666667
"3878",80000,87.2521362304688,4.22222222222222
"3879",80020,74.5253829956055,4.22777777777778
"3880",80040,70.6016616821289,4.23333333333333
"3881",80060,67.7646713256836,4.23888888888889
"3882",80080,67.7646713256836,4.24444444444444
"3883",80100,67.245735168457,4.25
"3884",80120,66.2940902709961,4.25555555555556
"3885",80140,66.2940902709961,4.26111111111111
"3886",80160,65.9067459106445,4.26666666666667
"3887",80180,65.4830169677734,4.27222222222222
"3888",80200,64.4453353881836,4.27777777777778
"3889",80220,64.4453353881836,4.28333333333333
"3890",80240,64.0762329101562,4.28888888888889
"3891",80260,63.3445014953613,4.29444444444444
"3892",80280,63.3444976806641,4.3
"3893",80300,63.3982620239258,4.30555555555556
"3894",80320,63.7982788085938,4.31111111111111
"3895",80340,67.3444976806641,4.31666666666667
"3896",80360,67.3444976806641,4.32222222222222
"3897",80380,71.0592803955078,4.32777777777778
"3898",80400,81.4873504638672,4.33333333333333
"3899",80420,81.4873504638672,4.33888888888889
"3900",80440,96.1344223022461,4.34444444444444
"3901",80460,137.141632080078,4.35
"3902",80480,155.141632080078,4.35555555555556
"3903",80500,155.141632080078,4.36111111111111
"3904",80520,169.72265625,4.36666666666667
"3905",80540,187.774948120117,4.37222222222222
"3906",80560,187.774948120117,4.37777777777778
"3907",80580,194.26887512207,4.38333333333333
"3908",80600,201.183319091797,4.38888888888889
"3909",80620,201.183319091797,4.39444444444444
"3910",80640,203.216659545898,4.4
"3911",80660,204.630233764648,4.40555555555556
"3912",80680,203.483322143555,4.41111111111111
"3913",80700,203.483322143555,4.41666666666667
"3914",80720,202.605010986328,4.42222222222222
"3915",80740,199.816635131836,4.42777777777778
"3916",80760,199.816635131836,4.43333333333333
"3917",80780,197.433303833008,4.43888888888889
"3918",80800,197.109268188477,4.44444444444444
"3919",80820,195.633361816406,4.45
"3920",80840,195.633361816406,4.45555555555556
"3921",80860,197.268905639648,4.46111111111111
"3922",80880,195.908340454102,4.46666666666667
"3923",80900,195.908340454102,4.47222222222222
"3924",80920,197.680679321289,4.47777777777778
"3925",80940,197.050399780273,4.48333333333333
"3926",80960,194.549987792969,4.48888888888889
"3927",80980,194.549987792969,4.49444444444444
"3928",81000,195.932739257812,4.5
"3929",81020,194.766632080078,4.50555555555556
"3930",81040,194.766632080078,4.51111111111111
"3931",81060,196.512588500977,4.51666666666667
"3932",81080,196.596603393555,4.52222222222222
"3933",81100,195.249954223633,4.52777777777778
"3934",81120,195.249954223633,4.53333333333333
"3935",81140,196.243667602539,4.53888888888889
"3936",81160,194.658294677734,4.54444444444444
"3937",81180,194.658294677734,4.55
"3938",81200,195.680648803711,4.55555555555556
"3939",81220,194.124954223633,4.56111111111111
"3940",81240,193.874954223633,4.56666666666667
"3941",81260,193.874954223633,4.57222222222222
"3942",81280,194.915924072266,4.57777777777778
"3943",81300,193.358306884766,4.58333333333333
"3944",81320,193.358306884766,4.58888888888889
"3945",81340,191.235260009766,4.59444444444444
"3946",81360,187.199966430664,4.6
"3947",81380,184.024963378906,4.60555555555556
"3948",81400,184.024963378906,4.61111111111111
"3949",81420,175.252059936523,4.61666666666667
"3950",81440,169.783309936523,4.62222222222222
"3951",81460,169.783309936523,4.62777777777778
"3952",81480,166.815139770508,4.63333333333333
"3953",81500,164.641677856445,4.63888888888889
"3954",81520,164.641677856445,4.64444444444444
"3955",81540,164.008346557617,4.65
"3956",81560,165.15966796875,4.65555555555556
"3957",81580,163.708343505859,4.66111111111111
"3958",81600,163.70832824707,4.66666666666667
"3959",81620,165.016799926758,4.67222222222222
